incident_id,incident_category,severity,incident_description,resolution_status,location
1496,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Delhi facility during shift 3.,Resolved,Bengaluru
1497,Shipment Delay,High,Delivery delayed due to traffic disruption. Reported at Chennai facility during shift 3.,In Progress,Delhi
1498,Warehouse Issue,Medium,Inventory allocation issue detected. Reported at Bengaluru facility during shift 2.,Open,Hyderabad
1499,Inventory Shortage,Medium,Procurement delay affected inventory availability. Reported at Chennai facility during shift 3.,Resolved,Mumbai
1500,Damaged Goods,High,Transit vibration caused product defects. Reported at Ahmedabad facility during shift 3.,In Progress,Hyderabad
1501,Customs Issue,Low,Tariff classification review in progress. Reported at Chennai facility during shift 2.,Resolved,Bengaluru
1502,Warehouse Issue,High,Put-away process delayed inventory availability. Reported at Bengaluru facility during shift 3.,Open,Ahmedabad
1503,Customs Issue,Critical,Tariff classification review in progress. Reported at Hyderabad facility during shift 3.,Open,Chennai
1504,Documentation Error,Medium,Purchase order details inconsistent. Reported at Pune facility during shift 2.,In Progress,Kolkata
1505,Transportation Failure,Medium,Transport route disruption due to road closure. Reported at Hyderabad facility during shift 2.,Open,Kolkata
1506,Shipment Delay,High,Port congestion delayed shipment arrival. Reported at Pune facility during shift 3.,Open,Hyderabad
1507,Transportation Failure,Low,Accident blocked scheduled delivery route. Reported at Delhi facility during shift 3.,Resolved,Ahmedabad
1508,Damaged Goods,Low,Receiving inspection identified damaged goods. Reported at Delhi facility during shift 1.,Resolved,Bengaluru
1509,Customs Issue,High,Customs valuation dispute identified. Reported at Chennai facility during shift 2.,Resolved,Mumbai
1510,Customs Issue,Critical,Shipment selected for random inspection. Reported at Delhi facility during shift 2.,In Progress,Delhi
1511,Shipment Delay,Low,Truck breakdown caused delivery delay. Reported at Pune facility during shift 2.,Open,Mumbai
1512,Documentation Error,Medium,Missing certificate delayed shipment release. Reported at Pune facility during shift 3.,Open,Kolkata
1513,Inventory Shortage,Medium,Warehouse stock shortage detected. Reported at Mumbai facility during shift 1.,In Progress,Delhi
1514,Customs Issue,Critical,Regulatory approval pending clearance. Reported at Kolkata facility during shift 3.,Resolved,Mumbai
1515,Warehouse Issue,Medium,Warehouse management system outage reported. Reported at Kolkata facility during shift 2.,In Progress,Pune
1516,Shipment Delay,Low,Truck breakdown caused delivery delay. Reported at Mumbai facility during shift 1.,Resolved,Bengaluru
1517,Shipment Delay,Medium,Rail transport delay impacted delivery timeline. Reported at Ahmedabad facility during shift 2.,Open,Delhi
1518,Transportation Failure,Medium,Fleet utilization exceeded available capacity. Reported at Kolkata facility during shift 2.,Open,Pune
1519,Shipment Delay,High,Dispatch process delayed at origin facility. Reported at Delhi facility during shift 2.,Open,Kolkata
1520,Documentation Error,Medium,Manifest information incomplete. Reported at Ahmedabad facility during shift 1.,Resolved,Mumbai
1521,Warehouse Issue,High,Space constraint affected storage operations. Reported at Bengaluru facility during shift 3.,Open,Delhi
1522,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Ahmedabad facility during shift 2.,Open,Bengaluru
1523,Customs Issue,Low,Import documentation under review. Reported at Mumbai facility during shift 3.,Open,Mumbai
1524,Shipment Delay,Critical,Cargo loading completed behind schedule. Reported at Hyderabad facility during shift 2.,Open,Kolkata
1525,Customs Issue,Low,Shipment held by customs authorities. Reported at Bengaluru facility during shift 2.,Resolved,Hyderabad
1526,Customs Issue,Medium,Shipment flagged for compliance audit. Reported at Ahmedabad facility during shift 1.,Resolved,Pune
1527,Documentation Error,Medium,Shipping label generated with incorrect address. Reported at Pune facility during shift 3.,Open,Mumbai
1528,Customs Issue,Low,Trade compliance review delayed processing. Reported at Chennai facility during shift 1.,Open,Hyderabad
1529,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Bengaluru facility during shift 1.,Open,Pune
1530,Damaged Goods,Medium,Goods arrived with visible damage. Reported at Kolkata facility during shift 1.,In Progress,Kolkata
1531,Customs Issue,Medium,Country-specific restriction affected import. Reported at Delhi facility during shift 2.,In Progress,Kolkata
1532,Customs Issue,Medium,Import documentation under review. Reported at Bengaluru facility during shift 1.,In Progress,Bengaluru
1533,Customs Issue,High,Customs requested additional documentation. Reported at Delhi facility during shift 2.,In Progress,Kolkata
1534,Transportation Failure,Low,Delivery vehicle breakdown reported. Reported at Bengaluru facility during shift 1.,Resolved,Mumbai
1535,Customs Issue,Medium,Shipment flagged for compliance audit. Reported at Kolkata facility during shift 1.,Open,Pune
1536,Damaged Goods,High,Warehouse accident damaged stored inventory. Reported at Hyderabad facility during shift 1.,Open,Hyderabad
1537,Shipment Delay,Medium,Truck breakdown caused delivery delay. Reported at Kolkata facility during shift 1.,Open,Mumbai
1538,Inventory Shortage,High,Backordered items unavailable for dispatch. Reported at Hyderabad facility during shift 3.,In Progress,Mumbai
1539,Documentation Error,Low,Incorrect consignee information provided. Reported at Hyderabad facility during shift 3.,Open,Chennai
1540,Inventory Shortage,Medium,Safety stock threshold breached. Reported at Kolkata facility during shift 1.,Resolved,Kolkata
1541,Transportation Failure,Low,Route planning error delayed movement. Reported at Delhi facility during shift 2.,Resolved,Delhi
1542,Customs Issue,Medium,Import documentation under review. Reported at Delhi facility during shift 2.,In Progress,Chennai
1543,Customs Issue,High,Customs valuation dispute identified. Reported at Pune facility during shift 3.,Resolved,Kolkata
1544,Customs Issue,Critical,Import permit approval pending. Reported at Delhi facility during shift 2.,In Progress,Hyderabad
1545,Damaged Goods,Medium,Pallet collapse resulted in product damage. Reported at Bengaluru facility during shift 2.,Open,Hyderabad
1546,Transportation Failure,Medium,Third-party carrier cancelled shipment booking. Reported at Pune facility during shift 1.,Open,Bengaluru
1547,Shipment Delay,High,Port congestion delayed shipment arrival. Reported at Chennai facility during shift 1.,Resolved,Ahmedabad
1548,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Chennai facility during shift 2.,Resolved,Delhi
1549,Transportation Failure,Low,Fleet utilization exceeded available capacity. Reported at Mumbai facility during shift 2.,Open,Chennai
1550,Customs Issue,Critical,Tariff classification review in progress. Reported at Pune facility during shift 1.,Resolved,Chennai
1551,Documentation Error,Critical,Export declaration contained errors. Reported at Delhi facility during shift 3.,Resolved,Bengaluru
1552,Inventory Shortage,Medium,Product unavailable due to inventory mismatch. Reported at Pune facility during shift 1.,Open,Kolkata
1553,Transportation Failure,Critical,Fuel supply issue interrupted transportation. Reported at Delhi facility during shift 2.,In Progress,Bengaluru
1554,Warehouse Issue,Low,Inventory misplaced within storage area. Reported at Mumbai facility during shift 2.,In Progress,Hyderabad
1555,Inventory Shortage,Critical,Warehouse stock shortage detected. Reported at Kolkata facility during shift 1.,Resolved,Chennai
1556,Transportation Failure,Medium,Trailer availability issue delayed dispatch. Reported at Ahmedabad facility during shift 1.,Resolved,Ahmedabad
1557,Damaged Goods,Low,Shipment contents damaged in transit. Reported at Pune facility during shift 1.,Resolved,Delhi
1558,Transportation Failure,Medium,Driver unavailable for scheduled route. Reported at Chennai facility during shift 1.,Open,Mumbai
1559,Documentation Error,Low,Labeling information did not match shipment. Reported at Delhi facility during shift 2.,In Progress,Chennai
1560,Inventory Shortage,Medium,Unexpected order spike exhausted stock. Reported at Hyderabad facility during shift 1.,In Progress,Hyderabad
1561,Damaged Goods,High,Pallet collapse resulted in product damage. Reported at Delhi facility during shift 3.,Open,Ahmedabad
1562,Customs Issue,Low,Trade compliance review delayed processing. Reported at Ahmedabad facility during shift 1.,Resolved,Kolkata
1563,Shipment Delay,Low,Container missed connecting vessel. Reported at Bengaluru facility during shift 1.,Open,Delhi
1564,Transportation Failure,Low,Fuel supply issue interrupted transportation. Reported at Pune facility during shift 1.,Open,Ahmedabad
1565,Customs Issue,Medium,Regulatory verification delayed release. Reported at Mumbai facility during shift 2.,In Progress,Delhi
1566,Damaged Goods,High,Warehouse accident damaged stored inventory. Reported at Kolkata facility during shift 3.,Resolved,Kolkata
1567,Inventory Shortage,Low,Product unavailable due to inventory mismatch. Reported at Mumbai facility during shift 1.,In Progress,Chennai
1568,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Bengaluru facility during shift 1.,In Progress,Kolkata
1569,Documentation Error,Medium,Data entry error impacted shipment records. Reported at Chennai facility during shift 2.,In Progress,Ahmedabad
1570,Shipment Delay,Medium,Driver shortage affected transportation schedule. Reported at Kolkata facility during shift 1.,Resolved,Delhi
1571,Inventory Shortage,Critical,Stockout occurred at fulfillment center. Reported at Mumbai facility during shift 2.,Open,Kolkata
1572,Inventory Shortage,High,Inventory forecast underestimated demand. Reported at Mumbai facility during shift 3.,Resolved,Delhi
1573,Inventory Shortage,Low,Inventory reservation conflict identified. Reported at Delhi facility during shift 1.,In Progress,Chennai
1574,Damaged Goods,Low,Forklift accident damaged inventory. Reported at Delhi facility during shift 2.,Open,Mumbai
1575,Warehouse Issue,Medium,Warehouse stock mismatch identified. Reported at Kolkata facility during shift 2.,Resolved,Bengaluru
1576,Inventory Shortage,Low,Safety stock threshold breached. Reported at Kolkata facility during shift 2.,In Progress,Chennai
1577,Damaged Goods,Low,Product packaging torn during loading. Reported at Hyderabad facility during shift 2.,In Progress,Kolkata
1578,Inventory Shortage,Low,Safety stock threshold breached. Reported at Chennai facility during shift 1.,Open,Pune
1579,Inventory Shortage,Critical,Stockout occurred at fulfillment center. Reported at Ahmedabad facility during shift 2.,Open,Kolkata
1580,Inventory Shortage,Medium,Stockout occurred at fulfillment center. Reported at Ahmedabad facility during shift 2.,Open,Mumbai
1581,Customs Issue,Medium,Shipment held by customs authorities. Reported at Delhi facility during shift 2.,In Progress,Pune
1582,Inventory Shortage,Medium,Raw material shortage impacted production. Reported at Hyderabad facility during shift 1.,Open,Mumbai
1583,Inventory Shortage,Medium,Raw material shortage impacted production. Reported at Mumbai facility during shift 1.,Resolved,Bengaluru
1584,Inventory Shortage,Low,Procurement delay affected inventory availability. Reported at Ahmedabad facility during shift 1.,Resolved,Pune
1585,Damaged Goods,Medium,Packaging failure led to damaged products. Reported at Ahmedabad facility during shift 1.,Open,Chennai
1586,Inventory Shortage,High,Demand exceeded available stock levels. Reported at Kolkata facility during shift 3.,Resolved,Pune
1587,Damaged Goods,Low,Improper handling caused item breakage. Reported at Mumbai facility during shift 2.,In Progress,Chennai
1588,Inventory Shortage,Critical,Cycle count revealed stock deficiency. Reported at Hyderabad facility during shift 3.,In Progress,Chennai
1589,Documentation Error,High,Incorrect shipping documentation submitted. Reported at Bengaluru facility during shift 3.,In Progress,Mumbai
1590,Inventory Shortage,High,Inventory forecast underestimated demand. Reported at Kolkata facility during shift 3.,In Progress,Hyderabad
1591,Inventory Shortage,Medium,Inventory replenishment delayed. Reported at Chennai facility during shift 1.,Resolved,Chennai
1592,Warehouse Issue,High,Inventory misplaced within storage area. Reported at Ahmedabad facility during shift 3.,Resolved,Hyderabad
1593,Damaged Goods,High,Transit vibration caused product defects. Reported at Bengaluru facility during shift 2.,Resolved,Mumbai
1594,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Chennai facility during shift 3.,Open,Delhi
1595,Damaged Goods,High,Receiving inspection identified damaged goods. Reported at Delhi facility during shift 2.,Open,Bengaluru
1596,Warehouse Issue,Medium,Warehouse processing backlog reported. Reported at Mumbai facility during shift 1.,Resolved,Pune
1597,Damaged Goods,Low,Product packaging torn during loading. Reported at Hyderabad facility during shift 3.,Resolved,Hyderabad
1598,Damaged Goods,Low,Package damaged during transportation. Reported at Chennai facility during shift 2.,In Progress,Delhi
1599,Damaged Goods,High,Package damaged during transportation. Reported at Mumbai facility during shift 3.,In Progress,Hyderabad
1600,Warehouse Issue,Low,Dock congestion slowed warehouse throughput. Reported at Bengaluru facility during shift 2.,In Progress,Bengaluru
1601,Documentation Error,Medium,Missing certificate delayed shipment release. Reported at Kolkata facility during shift 1.,Resolved,Kolkata
1602,Damaged Goods,Medium,Goods arrived with visible damage. Reported at Ahmedabad facility during shift 1.,In Progress,Delhi
1603,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Delhi facility during shift 1.,Resolved,Delhi
1604,Customs Issue,Low,Regulatory verification delayed release. Reported at Chennai facility during shift 2.,Open,Kolkata
1605,Customs Issue,Low,Border security inspection caused delay. Reported at Bengaluru facility during shift 1.,In Progress,Bengaluru
1606,Transportation Failure,High,Trailer availability issue delayed dispatch. Reported at Kolkata facility during shift 1.,Open,Chennai
1607,Documentation Error,Low,Missing invoice delayed processing. Reported at Kolkata facility during shift 2.,Open,Chennai
1608,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Mumbai facility during shift 2.,Resolved,Chennai
1609,Warehouse Issue,High,Warehouse stock mismatch identified. Reported at Mumbai facility during shift 3.,In Progress,Mumbai
1610,Inventory Shortage,High,Inventory replenishment delayed. Reported at Ahmedabad facility during shift 3.,Open,Hyderabad
1611,Damaged Goods,Low,Improper handling caused item breakage. Reported at Delhi facility during shift 1.,Resolved,Hyderabad
1612,Customs Issue,High,Shipment flagged for compliance audit. Reported at Mumbai facility during shift 1.,Open,Hyderabad
1613,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Kolkata facility during shift 1.,Open,Chennai
1614,Inventory Shortage,Medium,Supplier delay created inventory gap. Reported at Kolkata facility during shift 1.,In Progress,Bengaluru
1615,Customs Issue,Low,Tariff classification review in progress. Reported at Mumbai facility during shift 2.,Open,Bengaluru
1616,Shipment Delay,Medium,Carrier scheduling issue caused shipment delay. Reported at Pune facility during shift 1.,Open,Pune
1617,Shipment Delay,Low,Mechanical failure delayed freight movement. Reported at Chennai facility during shift 3.,In Progress,Pune
1618,Documentation Error,High,Customs paperwork contained errors. Reported at Kolkata facility during shift 1.,Resolved,Hyderabad
1619,Documentation Error,High,Manifest information incomplete. Reported at Hyderabad facility during shift 2.,In Progress,Ahmedabad
1620,Customs Issue,High,Customs requested additional documentation. Reported at Hyderabad facility during shift 3.,Open,Delhi
1621,Warehouse Issue,Low,Dock congestion slowed warehouse throughput. Reported at Delhi facility during shift 2.,In Progress,Ahmedabad
1622,Warehouse Issue,Medium,Picking error occurred in warehouse. Reported at Mumbai facility during shift 3.,Resolved,Hyderabad
1623,Inventory Shortage,Low,Product unavailable due to inventory mismatch. Reported at Pune facility during shift 1.,In Progress,Pune
1624,Damaged Goods,Medium,Improper handling caused item breakage. Reported at Kolkata facility during shift 2.,In Progress,Pune
1625,Inventory Shortage,Medium,Unexpected order spike exhausted stock. Reported at Bengaluru facility during shift 2.,In Progress,Ahmedabad
1626,Documentation Error,Low,Labeling information did not match shipment. Reported at Bengaluru facility during shift 2.,Resolved,Kolkata
1627,Documentation Error,Low,Documentation approval pending correction. Reported at Bengaluru facility during shift 3.,In Progress,Chennai
1628,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Chennai facility during shift 2.,Open,Mumbai
1629,Shipment Delay,High,Mechanical failure delayed freight movement. Reported at Pune facility during shift 2.,Open,Hyderabad
1630,Transportation Failure,Low,Carrier failed to pick up shipment. Reported at Kolkata facility during shift 1.,Open,Chennai
1631,Customs Issue,High,Import documentation under review. Reported at Mumbai facility during shift 3.,In Progress,Chennai
1632,Customs Issue,High,Tariff classification review in progress. Reported at Pune facility during shift 1.,Resolved,Mumbai
1633,Transportation Failure,Low,Transportation network disruption reported. Reported at Delhi facility during shift 1.,Open,Mumbai
1634,Inventory Shortage,High,Product unavailable due to inventory mismatch. Reported at Chennai facility during shift 3.,In Progress,Delhi
1635,Warehouse Issue,Low,Storage location information incorrect. Reported at Ahmedabad facility during shift 3.,Resolved,Hyderabad
1636,Transportation Failure,High,Fuel supply issue interrupted transportation. Reported at Pune facility during shift 2.,Resolved,Chennai
1637,Damaged Goods,High,Product packaging torn during loading. Reported at Delhi facility during shift 1.,Open,Delhi
1638,Documentation Error,High,Customs paperwork contained errors. Reported at Chennai facility during shift 2.,Resolved,Ahmedabad
1639,Documentation Error,Medium,Data entry error impacted shipment records. Reported at Hyderabad facility during shift 3.,Resolved,Bengaluru
1640,Transportation Failure,Critical,Trailer availability issue delayed dispatch. Reported at Delhi facility during shift 2.,Resolved,Kolkata
1641,Inventory Shortage,Medium,Procurement delay affected inventory availability. Reported at Bengaluru facility during shift 2.,Open,Kolkata
1642,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Mumbai facility during shift 3.,In Progress,Kolkata
1643,Warehouse Issue,High,Order picking queue exceeded capacity. Reported at Delhi facility during shift 1.,Resolved,Kolkata
1644,Inventory Shortage,Low,Stockout occurred at fulfillment center. Reported at Mumbai facility during shift 1.,Resolved,Pune
1645,Shipment Delay,Medium,Unexpected weather conditions slowed transportation. Reported at Hyderabad facility during shift 1.,Open,Bengaluru
1646,Documentation Error,Medium,Incorrect shipping documentation submitted. Reported at Hyderabad facility during shift 1.,Resolved,Chennai
1647,Inventory Shortage,Medium,Stockout occurred at fulfillment center. Reported at Mumbai facility during shift 3.,Resolved,Ahmedabad
1648,Shipment Delay,Critical,Shipment delayed due to customs inspection. Reported at Pune facility during shift 1.,Open,Pune
1649,Warehouse Issue,Low,Inventory allocation issue detected. Reported at Kolkata facility during shift 3.,In Progress,Pune
1650,Inventory Shortage,Medium,Procurement delay affected inventory availability. Reported at Mumbai facility during shift 2.,Resolved,Mumbai
1651,Documentation Error,Medium,Invoice value discrepancy identified. Reported at Delhi facility during shift 1.,In Progress,Ahmedabad
1652,Documentation Error,Low,Manifest information incomplete. Reported at Chennai facility during shift 2.,Resolved,Ahmedabad
1653,Shipment Delay,Low,Mechanical failure delayed freight movement. Reported at Mumbai facility during shift 3.,Open,Delhi
1654,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Delhi facility during shift 3.,Resolved,Pune
1655,Transportation Failure,Low,Third-party carrier cancelled shipment booking. Reported at Delhi facility during shift 2.,Resolved,Kolkata
1656,Shipment Delay,Low,Mechanical failure delayed freight movement. Reported at Kolkata facility during shift 1.,Resolved,Mumbai
1657,Inventory Shortage,High,Cycle count revealed stock deficiency. Reported at Ahmedabad facility during shift 1.,Open,Hyderabad
1658,Documentation Error,Low,Manifest information incomplete. Reported at Mumbai facility during shift 2.,In Progress,Delhi
1659,Damaged Goods,Medium,Goods arrived with visible damage. Reported at Mumbai facility during shift 2.,In Progress,Mumbai
1660,Shipment Delay,Critical,Port congestion delayed shipment arrival. Reported at Ahmedabad facility during shift 2.,In Progress,Ahmedabad
1661,Customs Issue,Critical,Country-specific restriction affected import. Reported at Delhi facility during shift 1.,In Progress,Chennai
1662,Damaged Goods,Medium,Transit vibration caused product defects. Reported at Hyderabad facility during shift 2.,Resolved,Delhi
1663,Transportation Failure,Low,Driver unavailable for scheduled route. Reported at Pune facility during shift 2.,In Progress,Ahmedabad
1664,Damaged Goods,Critical,Receiving inspection identified damaged goods. Reported at Chennai facility during shift 3.,Open,Bengaluru
1665,Customs Issue,High,Trade compliance review delayed processing. Reported at Chennai facility during shift 1.,In Progress,Kolkata
1666,Inventory Shortage,Low,Cycle count revealed stock deficiency. Reported at Kolkata facility during shift 1.,In Progress,Mumbai
1667,Damaged Goods,Medium,Improper handling caused item breakage. Reported at Ahmedabad facility during shift 3.,In Progress,Mumbai
1668,Shipment Delay,High,Port congestion delayed shipment arrival. Reported at Mumbai facility during shift 2.,Open,Kolkata
1669,Damaged Goods,Critical,Product packaging torn during loading. Reported at Pune facility during shift 2.,In Progress,Bengaluru
1670,Customs Issue,Low,Regulatory approval pending clearance. Reported at Ahmedabad facility during shift 1.,Open,Delhi
1671,Transportation Failure,Medium,Carrier failed to pick up shipment. Reported at Bengaluru facility during shift 2.,Resolved,Kolkata
1672,Shipment Delay,Critical,Mechanical failure delayed freight movement. Reported at Pune facility during shift 2.,Open,Chennai
1673,Inventory Shortage,Medium,Inventory reservation conflict identified. Reported at Chennai facility during shift 3.,In Progress,Delhi
1674,Shipment Delay,Medium,Port congestion delayed shipment arrival. Reported at Mumbai facility during shift 2.,In Progress,Ahmedabad
1675,Warehouse Issue,High,Order picking queue exceeded capacity. Reported at Bengaluru facility during shift 3.,Open,Chennai
1676,Shipment Delay,Critical,Mechanical failure delayed freight movement. Reported at Kolkata facility during shift 2.,In Progress,Delhi
1677,Inventory Shortage,Medium,Safety stock threshold breached. Reported at Kolkata facility during shift 2.,Resolved,Delhi
1678,Customs Issue,Medium,Tariff classification review in progress. Reported at Pune facility during shift 3.,Open,Bengaluru
1679,Shipment Delay,Medium,Dispatch process delayed at origin facility. Reported at Delhi facility during shift 2.,Resolved,Pune
1680,Shipment Delay,Medium,Port congestion delayed shipment arrival. Reported at Ahmedabad facility during shift 1.,In Progress,Mumbai
1681,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Kolkata facility during shift 2.,Open,Ahmedabad
1682,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Delhi facility during shift 3.,Resolved,Mumbai
1683,Shipment Delay,Medium,Unexpected weather conditions slowed transportation. Reported at Bengaluru facility during shift 2.,Open,Kolkata
1684,Inventory Shortage,Critical,Safety stock threshold breached. Reported at Bengaluru facility during shift 1.,Resolved,Chennai
1685,Damaged Goods,Medium,Transit vibration caused product defects. Reported at Pune facility during shift 1.,In Progress,Mumbai
1686,Customs Issue,Medium,Import permit approval pending. Reported at Ahmedabad facility during shift 2.,In Progress,Kolkata
1687,Documentation Error,Critical,Invoice value discrepancy identified. Reported at Pune facility during shift 1.,In Progress,Kolkata
1688,Damaged Goods,Medium,Goods arrived with visible damage. Reported at Delhi facility during shift 3.,In Progress,Kolkata
1689,Customs Issue,High,Regulatory verification delayed release. Reported at Mumbai facility during shift 1.,Open,Mumbai
1690,Customs Issue,Medium,Shipment held by customs authorities. Reported at Kolkata facility during shift 1.,Resolved,Mumbai
1691,Customs Issue,Low,Import permit approval pending. Reported at Chennai facility during shift 3.,In Progress,Bengaluru
1692,Inventory Shortage,Medium,Unexpected order spike exhausted stock. Reported at Ahmedabad facility during shift 3.,Open,Ahmedabad
1693,Shipment Delay,Critical,Container missed connecting vessel. Reported at Ahmedabad facility during shift 2.,Resolved,Kolkata
1694,Shipment Delay,Low,Container missed connecting vessel. Reported at Bengaluru facility during shift 3.,Resolved,Hyderabad
1695,Damaged Goods,Low,Transit vibration caused product defects. Reported at Kolkata facility during shift 3.,In Progress,Chennai
1696,Shipment Delay,High,Shipment delayed due to customs inspection. Reported at Delhi facility during shift 2.,Resolved,Pune
1697,Damaged Goods,Medium,Goods arrived with visible damage. Reported at Kolkata facility during shift 1.,In Progress,Bengaluru
1698,Documentation Error,High,Missing certificate delayed shipment release. Reported at Kolkata facility during shift 1.,Resolved,Kolkata
1699,Inventory Shortage,Low,Raw material shortage impacted production. Reported at Kolkata facility during shift 3.,In Progress,Delhi
1700,Transportation Failure,High,Logistics partner experienced operational failure. Reported at Mumbai facility during shift 3.,Resolved,Mumbai
1701,Customs Issue,Critical,Border security inspection caused delay. Reported at Kolkata facility during shift 3.,Resolved,Delhi
1702,Damaged Goods,Low,Forklift accident damaged inventory. Reported at Mumbai facility during shift 1.,Open,Delhi
1703,Shipment Delay,Medium,Rail transport delay impacted delivery timeline. Reported at Mumbai facility during shift 3.,Resolved,Delhi
1704,Transportation Failure,Low,Accident blocked scheduled delivery route. Reported at Pune facility during shift 1.,Open,Hyderabad
1705,Inventory Shortage,High,Backordered items unavailable for dispatch. Reported at Bengaluru facility during shift 3.,In Progress,Hyderabad
1706,Customs Issue,Critical,Shipment held by customs authorities. Reported at Hyderabad facility during shift 1.,Resolved,Chennai
1707,Customs Issue,Medium,Border security inspection caused delay. Reported at Mumbai facility during shift 1.,Resolved,Mumbai
1708,Shipment Delay,High,Port congestion delayed shipment arrival. Reported at Hyderabad facility during shift 2.,Open,Mumbai
1709,Transportation Failure,Medium,Transportation network disruption reported. Reported at Pune facility during shift 1.,In Progress,Chennai
1710,Transportation Failure,Low,Transport route disruption due to road closure. Reported at Ahmedabad facility during shift 3.,Resolved,Kolkata
1711,Transportation Failure,Critical,Trailer availability issue delayed dispatch. Reported at Pune facility during shift 3.,Open,Delhi
1712,Damaged Goods,Medium,Package damaged during transportation. Reported at Delhi facility during shift 3.,Resolved,Chennai
1713,Shipment Delay,Critical,Container missed connecting vessel. Reported at Pune facility during shift 2.,Resolved,Chennai
1714,Inventory Shortage,Low,Backordered items unavailable for dispatch. Reported at Hyderabad facility during shift 1.,Open,Chennai
1715,Documentation Error,High,Labeling information did not match shipment. Reported at Delhi facility during shift 1.,Open,Bengaluru
1716,Shipment Delay,Low,Container missed connecting vessel. Reported at Delhi facility during shift 1.,Resolved,Delhi
1717,Damaged Goods,Critical,Shipment contents damaged in transit. Reported at Ahmedabad facility during shift 1.,In Progress,Hyderabad
1718,Transportation Failure,Medium,Equipment malfunction impacted transport operations. Reported at Ahmedabad facility during shift 2.,In Progress,Bengaluru
1719,Damaged Goods,High,Goods arrived with visible damage. Reported at Bengaluru facility during shift 3.,Resolved,Hyderabad
1720,Transportation Failure,High,Transport route disruption due to road closure. Reported at Hyderabad facility during shift 1.,Resolved,Ahmedabad
1721,Transportation Failure,Medium,Trailer availability issue delayed dispatch. Reported at Ahmedabad facility during shift 2.,In Progress,Pune
1722,Documentation Error,Low,Missing invoice delayed processing. Reported at Kolkata facility during shift 2.,In Progress,Pune
1723,Customs Issue,Low,Trade compliance review delayed processing. Reported at Mumbai facility during shift 2.,Open,Hyderabad
1724,Documentation Error,High,Purchase order details inconsistent. Reported at Hyderabad facility during shift 3.,Resolved,Pune
1725,Transportation Failure,High,Delivery vehicle breakdown reported. Reported at Mumbai facility during shift 1.,In Progress,Delhi
1726,Damaged Goods,Medium,Forklift accident damaged inventory. Reported at Mumbai facility during shift 1.,In Progress,Delhi
1727,Warehouse Issue,Medium,Receiving delay impacted warehouse operations. Reported at Mumbai facility during shift 1.,Open,Pune
1728,Inventory Shortage,Medium,Inventory forecast underestimated demand. Reported at Pune facility during shift 1.,In Progress,Hyderabad
1729,Documentation Error,Medium,Bill of lading information mismatch detected. Reported at Bengaluru facility during shift 1.,Resolved,Mumbai
1730,Documentation Error,High,Shipping label generated with incorrect address. Reported at Kolkata facility during shift 3.,In Progress,Pune
1731,Inventory Shortage,Medium,Demand exceeded available stock levels. Reported at Chennai facility during shift 2.,In Progress,Kolkata
1732,Shipment Delay,Medium,Truck breakdown caused delivery delay. Reported at Ahmedabad facility during shift 1.,Resolved,Kolkata
1733,Inventory Shortage,Low,Cycle count revealed stock deficiency. Reported at Chennai facility during shift 2.,Resolved,Chennai
1734,Transportation Failure,Low,Vehicle maintenance issue halted delivery. Reported at Delhi facility during shift 2.,Resolved,Chennai
1735,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Chennai facility during shift 1.,In Progress,Hyderabad
1736,Damaged Goods,Low,Water exposure damaged packaged goods. Reported at Pune facility during shift 2.,In Progress,Ahmedabad
1737,Documentation Error,Medium,Incorrect shipping documentation submitted. Reported at Kolkata facility during shift 2.,In Progress,Ahmedabad
1738,Warehouse Issue,Critical,Dock congestion slowed warehouse throughput. Reported at Mumbai facility during shift 2.,Open,Chennai
1739,Inventory Shortage,Low,Warehouse stock shortage detected. Reported at Chennai facility during shift 1.,In Progress,Kolkata
1740,Inventory Shortage,High,Inventory replenishment delayed. Reported at Mumbai facility during shift 1.,In Progress,Chennai
1741,Customs Issue,High,Trade compliance review delayed processing. Reported at Chennai facility during shift 2.,Open,Mumbai
1742,Shipment Delay,Medium,Carrier scheduling issue caused shipment delay. Reported at Mumbai facility during shift 2.,Resolved,Kolkata
1743,Damaged Goods,Medium,Packaging failure led to damaged products. Reported at Delhi facility during shift 1.,Open,Delhi
1744,Damaged Goods,High,Transit vibration caused product defects. Reported at Delhi facility during shift 3.,In Progress,Ahmedabad
1745,Customs Issue,Medium,Customs clearance process delayed. Reported at Bengaluru facility during shift 3.,In Progress,Hyderabad
