incident_id,incident_category,severity,incident_description,resolution_status,location,clean_text
330,Damaged Goods,High,Product packaging torn during loading. Reported at Kolkata facility during shift 2.,Open,Hyderabad,product package tear load report kolkata facility shift
331,Shipment Delay,Critical,Carrier scheduling issue caused shipment delay. Reported at Mumbai facility during shift 2.,Resolved,Hyderabad,carrier schedule issue cause shipment delay report mumbai facility shift
332,Customs Issue,High,Import permit approval pending. Reported at Bengaluru facility during shift 1.,In Progress,Hyderabad,import permit approval pending report bengaluru facility shift
333,Inventory Shortage,Low,Product unavailable due to inventory mismatch. Reported at Bengaluru facility during shift 1.,Resolved,Bengaluru,product unavailable due inventory mismatch report bengaluru facility shift
334,Customs Issue,Medium,Border inspection extended shipment hold. Reported at Chennai facility during shift 1.,Resolved,Ahmedabad,border inspection extend shipment hold report chennai facility shift
335,Shipment Delay,Critical,Shipment rerouted causing additional transit time. Reported at Delhi facility during shift 1.,Open,Kolkata,shipment rerouted cause additional transit time report delhi facility shift
336,Customs Issue,Medium,Country-specific restriction affected import. Reported at Ahmedabad facility during shift 2.,In Progress,Pune,countryspecific restriction affect import report ahmedabad facility shift
337,Damaged Goods,Medium,Fragile goods mishandled during unloading. Reported at Chennai facility during shift 1.,Open,Chennai,fragile goods mishandle unload report chennai facility shift
338,Inventory Shortage,Critical,Supplier delay created inventory gap. Reported at Delhi facility during shift 1.,In Progress,Ahmedabad,supplier delay create inventory gap report delhi facility shift
339,Inventory Shortage,Low,Warehouse unable to fulfill requested quantity. Reported at Hyderabad facility during shift 1.,Resolved,Mumbai,warehouse unable fulfill request quantity report hyderabad facility shift
340,Damaged Goods,Medium,Shipment contents damaged in transit. Reported at Ahmedabad facility during shift 3.,In Progress,Delhi,shipment content damage transit report ahmedabad facility shift
341,Warehouse Issue,Low,Inventory misplaced within storage area. Reported at Ahmedabad facility during shift 2.,Open,Pune,inventory misplace within storage area report ahmedabad facility shift
342,Inventory Shortage,Low,Procurement delay affected inventory availability. Reported at Ahmedabad facility during shift 3.,Open,Chennai,procurement delay affect inventory availability report ahmedabad facility shift
343,Customs Issue,Medium,Customs requested additional documentation. Reported at Hyderabad facility during shift 3.,Open,Delhi,customs request additional documentation report hyderabad facility shift
344,Documentation Error,Medium,Manifest information incomplete. Reported at Kolkata facility during shift 2.,Open,Kolkata,manifest information incomplete report kolkata facility shift
345,Customs Issue,Medium,Customs clearance process delayed. Reported at Delhi facility during shift 1.,Open,Chennai,customs clearance process delay report delhi facility shift
346,Damaged Goods,High,Pallet collapse resulted in product damage. Reported at Bengaluru facility during shift 2.,In Progress,Hyderabad,pallet collapse result product damage report bengaluru facility shift
347,Documentation Error,Medium,Data entry error impacted shipment records. Reported at Chennai facility during shift 2.,Resolved,Bengaluru,data entry error impact shipment record report chennai facility shift
348,Shipment Delay,Medium,Shipment rerouted causing additional transit time. Reported at Mumbai facility during shift 2.,In Progress,Hyderabad,shipment rerouted cause additional transit time report mumbai facility shift
349,Customs Issue,Medium,Customs clearance process delayed. Reported at Hyderabad facility during shift 2.,Open,Delhi,customs clearance process delay report hyderabad facility shift
350,Transportation Failure,Critical,Carrier failed to pick up shipment. Reported at Ahmedabad facility during shift 3.,In Progress,Kolkata,carrier fail pick shipment report ahmedabad facility shift
351,Customs Issue,High,Shipment flagged for compliance audit. Reported at Ahmedabad facility during shift 3.,Open,Bengaluru,shipment flag compliance audit report ahmedabad facility shift
352,Customs Issue,Medium,Shipment selected for random inspection. Reported at Mumbai facility during shift 3.,Resolved,Pune,shipment select random inspection report mumbai facility shift
353,Shipment Delay,High,Mechanical failure delayed freight movement. Reported at Mumbai facility during shift 1.,Resolved,Bengaluru,mechanical failure delay freight movement report mumbai facility shift
354,Documentation Error,Medium,Labeling information did not match shipment. Reported at Delhi facility during shift 1.,Resolved,Ahmedabad,label information match shipment report delhi facility shift
355,Shipment Delay,Medium,Shipment rerouted causing additional transit time. Reported at Bengaluru facility during shift 3.,Open,Ahmedabad,shipment rerouted cause additional transit time report bengaluru facility shift
356,Warehouse Issue,Medium,Warehouse stock mismatch identified. Reported at Ahmedabad facility during shift 1.,In Progress,Chennai,warehouse stock mismatch identify report ahmedabad facility shift
357,Documentation Error,Low,Export declaration contained errors. Reported at Hyderabad facility during shift 3.,In Progress,Chennai,export declaration contain errors report hyderabad facility shift
358,Customs Issue,Medium,Border inspection extended shipment hold. Reported at Mumbai facility during shift 1.,Resolved,Mumbai,border inspection extend shipment hold report mumbai facility shift
359,Documentation Error,Low,Incorrect shipping documentation submitted. Reported at Mumbai facility during shift 2.,In Progress,Delhi,incorrect ship documentation submit report mumbai facility shift
360,Warehouse Issue,Critical,Storage location information incorrect. Reported at Kolkata facility during shift 2.,In Progress,Ahmedabad,storage location information incorrect report kolkata facility shift
361,Warehouse Issue,Low,Order consolidation process delayed shipment. Reported at Kolkata facility during shift 2.,Resolved,Delhi,order consolidation process delay shipment report kolkata facility shift
362,Customs Issue,Low,Trade compliance review delayed processing. Reported at Pune facility during shift 1.,Resolved,Kolkata,trade compliance review delay process report pune facility shift
363,Documentation Error,High,Customs paperwork contained errors. Reported at Bengaluru facility during shift 1.,In Progress,Ahmedabad,customs paperwork contain errors report bengaluru facility shift
364,Customs Issue,Medium,Regulatory approval pending clearance. Reported at Kolkata facility during shift 3.,Open,Bengaluru,regulatory approval pending clearance report kolkata facility shift
365,Transportation Failure,Low,Driver unavailable for scheduled route. Reported at Delhi facility during shift 2.,Resolved,Mumbai,driver unavailable schedule route report delhi facility shift
366,Shipment Delay,High,Driver shortage affected transportation schedule. Reported at Kolkata facility during shift 3.,Open,Bengaluru,driver shortage affect transportation schedule report kolkata facility shift
367,Inventory Shortage,Low,Product unavailable due to inventory mismatch. Reported at Mumbai facility during shift 3.,Resolved,Chennai,product unavailable due inventory mismatch report mumbai facility shift
368,Inventory Shortage,Medium,Procurement delay affected inventory availability. Reported at Chennai facility during shift 2.,Resolved,Bengaluru,procurement delay affect inventory availability report chennai facility shift
369,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Chennai facility during shift 1.,In Progress,Bengaluru,warehouse staff shortage report report chennai facility shift
370,Warehouse Issue,Medium,Order consolidation process delayed shipment. Reported at Pune facility during shift 3.,Resolved,Pune,order consolidation process delay shipment report pune facility shift
371,Inventory Shortage,Medium,Stockout occurred at fulfillment center. Reported at Delhi facility during shift 3.,In Progress,Hyderabad,stockout occur fulfillment center report delhi facility shift
372,Damaged Goods,Medium,Package damaged during transportation. Reported at Delhi facility during shift 3.,Resolved,Ahmedabad,package damage transportation report delhi facility shift
373,Shipment Delay,Medium,Container missed connecting vessel. Reported at Kolkata facility during shift 3.,In Progress,Kolkata,container miss connect vessel report kolkata facility shift
374,Inventory Shortage,High,Stockout occurred at fulfillment center. Reported at Kolkata facility during shift 1.,In Progress,Bengaluru,stockout occur fulfillment center report kolkata facility shift
375,Warehouse Issue,Low,Warehouse processing backlog reported. Reported at Hyderabad facility during shift 3.,In Progress,Chennai,warehouse process backlog report report hyderabad facility shift
376,Documentation Error,Medium,Purchase order details inconsistent. Reported at Kolkata facility during shift 3.,In Progress,Bengaluru,purchase order detail inconsistent report kolkata facility shift
377,Damaged Goods,Low,Forklift accident damaged inventory. Reported at Pune facility during shift 3.,In Progress,Pune,forklift accident damage inventory report pune facility shift
378,Shipment Delay,Low,Cargo loading completed behind schedule. Reported at Bengaluru facility during shift 1.,Resolved,Chennai,cargo load complete behind schedule report bengaluru facility shift
379,Warehouse Issue,High,Picking error occurred in warehouse. Reported at Bengaluru facility during shift 3.,Resolved,Bengaluru,pick error occur warehouse report bengaluru facility shift
380,Transportation Failure,Critical,Logistics partner experienced operational failure. Reported at Pune facility during shift 2.,Open,Bengaluru,logistics partner experience operational failure report pune facility shift
381,Inventory Shortage,Critical,Procurement delay affected inventory availability. Reported at Mumbai facility during shift 3.,In Progress,Bengaluru,procurement delay affect inventory availability report mumbai facility shift
382,Customs Issue,Critical,Border security inspection caused delay. Reported at Bengaluru facility during shift 2.,Resolved,Pune,border security inspection cause delay report bengaluru facility shift
383,Warehouse Issue,Medium,Inventory allocation issue detected. Reported at Kolkata facility during shift 2.,In Progress,Hyderabad,inventory allocation issue detect report kolkata facility shift
384,Damaged Goods,Low,Water exposure damaged packaged goods. Reported at Ahmedabad facility during shift 2.,Resolved,Ahmedabad,water exposure damage package goods report ahmedabad facility shift
385,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Pune facility during shift 1.,In Progress,Chennai,warehouse staff shortage report report pune facility shift
386,Documentation Error,Low,Manifest information incomplete. Reported at Bengaluru facility during shift 3.,In Progress,Kolkata,manifest information incomplete report bengaluru facility shift
387,Damaged Goods,Low,Goods arrived with visible damage. Reported at Bengaluru facility during shift 2.,Resolved,Bengaluru,goods arrive visible damage report bengaluru facility shift
388,Transportation Failure,High,Transportation vendor system outage reported. Reported at Pune facility during shift 2.,In Progress,Ahmedabad,transportation vendor system outage report report pune facility shift
389,Transportation Failure,Low,Carrier failed to pick up shipment. Reported at Pune facility during shift 1.,Resolved,Ahmedabad,carrier fail pick shipment report pune facility shift
390,Inventory Shortage,Low,Warehouse unable to fulfill requested quantity. Reported at Chennai facility during shift 3.,Open,Chennai,warehouse unable fulfill request quantity report chennai facility shift
391,Warehouse Issue,High,Warehouse stock mismatch identified. Reported at Kolkata facility during shift 1.,Open,Mumbai,warehouse stock mismatch identify report kolkata facility shift
392,Customs Issue,Medium,Import documentation under review. Reported at Chennai facility during shift 1.,In Progress,Chennai,import documentation review report chennai facility shift
393,Documentation Error,Medium,Missing certificate delayed shipment release. Reported at Ahmedabad facility during shift 3.,Open,Kolkata,miss certificate delay shipment release report ahmedabad facility shift
394,Shipment Delay,Critical,Shipment delayed due to customs inspection. Reported at Hyderabad facility during shift 3.,Open,Kolkata,shipment delay due customs inspection report hyderabad facility shift
395,Warehouse Issue,Critical,Order consolidation process delayed shipment. Reported at Delhi facility during shift 1.,Resolved,Delhi,order consolidation process delay shipment report delhi facility shift
396,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Hyderabad facility during shift 2.,In Progress,Mumbai,demand exceed available stock level report hyderabad facility shift
397,Damaged Goods,Low,Pallet collapse resulted in product damage. Reported at Ahmedabad facility during shift 3.,Resolved,Bengaluru,pallet collapse result product damage report ahmedabad facility shift
398,Damaged Goods,Critical,Fragile goods mishandled during unloading. Reported at Mumbai facility during shift 3.,Resolved,Chennai,fragile goods mishandle unload report mumbai facility shift
399,Shipment Delay,Medium,Delivery delayed due to traffic disruption. Reported at Kolkata facility during shift 2.,Open,Chennai,delivery delay due traffic disruption report kolkata facility shift
400,Customs Issue,High,Import documentation under review. Reported at Mumbai facility during shift 2.,Resolved,Pune,import documentation review report mumbai facility shift
401,Documentation Error,Critical,Manifest information incomplete. Reported at Mumbai facility during shift 3.,Open,Bengaluru,manifest information incomplete report mumbai facility shift
402,Warehouse Issue,Low,Put-away process delayed inventory availability. Reported at Ahmedabad facility during shift 2.,Open,Hyderabad,putaway process delay inventory availability report ahmedabad facility shift
403,Documentation Error,Critical,Documentation approval pending correction. Reported at Chennai facility during shift 1.,In Progress,Chennai,documentation approval pending correction report chennai facility shift
404,Inventory Shortage,High,Cycle count revealed stock deficiency. Reported at Delhi facility during shift 3.,Open,Hyderabad,cycle count reveal stock deficiency report delhi facility shift
405,Inventory Shortage,High,Cycle count revealed stock deficiency. Reported at Bengaluru facility during shift 3.,In Progress,Pune,cycle count reveal stock deficiency report bengaluru facility shift
406,Transportation Failure,High,Third-party carrier cancelled shipment booking. Reported at Delhi facility during shift 3.,Resolved,Pune,thirdparty carrier cancel shipment book report delhi facility shift
407,Shipment Delay,High,Truck breakdown caused delivery delay. Reported at Kolkata facility during shift 1.,In Progress,Kolkata,truck breakdown cause delivery delay report kolkata facility shift
408,Warehouse Issue,Low,Receiving delay impacted warehouse operations. Reported at Chennai facility during shift 3.,In Progress,Ahmedabad,receive delay impact warehouse operations report chennai facility shift
409,Inventory Shortage,Low,Safety stock threshold breached. Reported at Kolkata facility during shift 2.,Resolved,Kolkata,safety stock threshold breach report kolkata facility shift
410,Shipment Delay,High,Driver shortage affected transportation schedule. Reported at Hyderabad facility during shift 1.,Open,Hyderabad,driver shortage affect transportation schedule report hyderabad facility shift
411,Inventory Shortage,Medium,Supplier delay created inventory gap. Reported at Delhi facility during shift 3.,In Progress,Mumbai,supplier delay create inventory gap report delhi facility shift
412,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Hyderabad facility during shift 2.,In Progress,Mumbai,shipment delay due customs inspection report hyderabad facility shift
413,Inventory Shortage,Medium,Product unavailable due to inventory mismatch. Reported at Delhi facility during shift 2.,Resolved,Kolkata,product unavailable due inventory mismatch report delhi facility shift
414,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Mumbai facility during shift 2.,Resolved,Pune,shipment delay due customs inspection report mumbai facility shift
415,Warehouse Issue,Medium,Order picking queue exceeded capacity. Reported at Chennai facility during shift 2.,Open,Bengaluru,order pick queue exceed capacity report chennai facility shift
416,Documentation Error,Medium,Labeling information did not match shipment. Reported at Delhi facility during shift 3.,Open,Hyderabad,label information match shipment report delhi facility shift
417,Damaged Goods,Low,Shipment contents damaged in transit. Reported at Ahmedabad facility during shift 1.,In Progress,Hyderabad,shipment content damage transit report ahmedabad facility shift
418,Transportation Failure,Medium,Vehicle maintenance issue halted delivery. Reported at Ahmedabad facility during shift 1.,Open,Ahmedabad,vehicle maintenance issue halt delivery report ahmedabad facility shift
419,Documentation Error,Low,Documentation approval pending correction. Reported at Bengaluru facility during shift 2.,In Progress,Chennai,documentation approval pending correction report bengaluru facility shift
420,Transportation Failure,Medium,Driver unavailable for scheduled route. Reported at Kolkata facility during shift 2.,In Progress,Delhi,driver unavailable schedule route report kolkata facility shift
421,Damaged Goods,Medium,Water exposure damaged packaged goods. Reported at Bengaluru facility during shift 2.,In Progress,Pune,water exposure damage package goods report bengaluru facility shift
422,Damaged Goods,High,Packaging failure led to damaged products. Reported at Ahmedabad facility during shift 3.,In Progress,Kolkata,package failure lead damage products report ahmedabad facility shift
423,Damaged Goods,Low,Transit vibration caused product defects. Reported at Kolkata facility during shift 2.,Resolved,Bengaluru,transit vibration cause product defect report kolkata facility shift
424,Documentation Error,High,Labeling information did not match shipment. Reported at Delhi facility during shift 3.,Open,Ahmedabad,label information match shipment report delhi facility shift
425,Customs Issue,High,Border inspection extended shipment hold. Reported at Ahmedabad facility during shift 2.,Open,Kolkata,border inspection extend shipment hold report ahmedabad facility shift
426,Customs Issue,Medium,Import permit approval pending. Reported at Delhi facility during shift 3.,In Progress,Delhi,import permit approval pending report delhi facility shift
427,Customs Issue,Medium,Tariff classification review in progress. Reported at Kolkata facility during shift 1.,Resolved,Ahmedabad,tariff classification review progress report kolkata facility shift
428,Documentation Error,Low,Purchase order details inconsistent. Reported at Kolkata facility during shift 3.,In Progress,Mumbai,purchase order detail inconsistent report kolkata facility shift
429,Shipment Delay,Medium,Driver shortage affected transportation schedule. Reported at Bengaluru facility during shift 3.,Open,Chennai,driver shortage affect transportation schedule report bengaluru facility shift
430,Documentation Error,Critical,Missing certificate delayed shipment release. Reported at Kolkata facility during shift 2.,In Progress,Mumbai,miss certificate delay shipment release report kolkata facility shift
431,Shipment Delay,Medium,Truck breakdown caused delivery delay. Reported at Hyderabad facility during shift 1.,Resolved,Bengaluru,truck breakdown cause delivery delay report hyderabad facility shift
432,Transportation Failure,High,Driver unavailable for scheduled route. Reported at Kolkata facility during shift 2.,Resolved,Delhi,driver unavailable schedule route report kolkata facility shift
433,Damaged Goods,Low,Package damaged during transportation. Reported at Ahmedabad facility during shift 1.,Open,Mumbai,package damage transportation report ahmedabad facility shift
434,Warehouse Issue,Medium,Put-away process delayed inventory availability. Reported at Delhi facility during shift 2.,In Progress,Bengaluru,putaway process delay inventory availability report delhi facility shift
435,Documentation Error,Low,Export declaration contained errors. Reported at Pune facility during shift 2.,Resolved,Ahmedabad,export declaration contain errors report pune facility shift
436,Damaged Goods,High,Product packaging torn during loading. Reported at Hyderabad facility during shift 1.,Open,Chennai,product package tear load report hyderabad facility shift
437,Warehouse Issue,High,Receiving delay impacted warehouse operations. Reported at Mumbai facility during shift 3.,Resolved,Bengaluru,receive delay impact warehouse operations report mumbai facility shift
438,Documentation Error,Medium,Customs paperwork contained errors. Reported at Delhi facility during shift 2.,In Progress,Bengaluru,customs paperwork contain errors report delhi facility shift
439,Warehouse Issue,Medium,Order picking queue exceeded capacity. Reported at Delhi facility during shift 1.,In Progress,Kolkata,order pick queue exceed capacity report delhi facility shift
440,Shipment Delay,Medium,Dispatch process delayed at origin facility. Reported at Bengaluru facility during shift 2.,In Progress,Chennai,dispatch process delay origin facility report bengaluru facility shift
441,Customs Issue,High,Border inspection extended shipment hold. Reported at Bengaluru facility during shift 2.,Open,Mumbai,border inspection extend shipment hold report bengaluru facility shift
442,Warehouse Issue,Medium,Warehouse staffing shortage reported. Reported at Delhi facility during shift 2.,In Progress,Mumbai,warehouse staff shortage report report delhi facility shift
443,Damaged Goods,Critical,Fragile goods mishandled during unloading. Reported at Ahmedabad facility during shift 3.,In Progress,Kolkata,fragile goods mishandle unload report ahmedabad facility shift
444,Documentation Error,Medium,Purchase order details inconsistent. Reported at Mumbai facility during shift 2.,In Progress,Delhi,purchase order detail inconsistent report mumbai facility shift
445,Warehouse Issue,Medium,Dock congestion slowed warehouse throughput. Reported at Hyderabad facility during shift 3.,Resolved,Delhi,dock congestion slow warehouse throughput report hyderabad facility shift
446,Damaged Goods,Low,Product packaging torn during loading. Reported at Bengaluru facility during shift 2.,In Progress,Delhi,product package tear load report bengaluru facility shift
447,Documentation Error,Low,Purchase order details inconsistent. Reported at Kolkata facility during shift 3.,In Progress,Kolkata,purchase order detail inconsistent report kolkata facility shift
448,Inventory Shortage,Low,Inventory forecast underestimated demand. Reported at Delhi facility during shift 3.,In Progress,Delhi,inventory forecast underestimate demand report delhi facility shift
449,Inventory Shortage,Low,Safety stock threshold breached. Reported at Ahmedabad facility during shift 3.,In Progress,Chennai,safety stock threshold breach report ahmedabad facility shift
450,Transportation Failure,Critical,Carrier failed to pick up shipment. Reported at Bengaluru facility during shift 2.,Resolved,Ahmedabad,carrier fail pick shipment report bengaluru facility shift
451,Transportation Failure,High,Accident blocked scheduled delivery route. Reported at Ahmedabad facility during shift 2.,In Progress,Ahmedabad,accident block schedule delivery route report ahmedabad facility shift
452,Inventory Shortage,Low,Product unavailable due to inventory mismatch. Reported at Chennai facility during shift 1.,In Progress,Bengaluru,product unavailable due inventory mismatch report chennai facility shift
453,Documentation Error,Medium,Required compliance document missing. Reported at Delhi facility during shift 2.,In Progress,Mumbai,require compliance document miss report delhi facility shift
454,Documentation Error,High,Missing invoice delayed processing. Reported at Hyderabad facility during shift 3.,In Progress,Chennai,miss invoice delay process report hyderabad facility shift
455,Warehouse Issue,Low,Put-away process delayed inventory availability. Reported at Ahmedabad facility during shift 3.,In Progress,Mumbai,putaway process delay inventory availability report ahmedabad facility shift
456,Customs Issue,High,Trade compliance review delayed processing. Reported at Bengaluru facility during shift 2.,Open,Ahmedabad,trade compliance review delay process report bengaluru facility shift
457,Damaged Goods,High,Water exposure damaged packaged goods. Reported at Mumbai facility during shift 2.,Open,Bengaluru,water exposure damage package goods report mumbai facility shift
458,Inventory Shortage,Medium,Unexpected order spike exhausted stock. Reported at Pune facility during shift 3.,In Progress,Delhi,unexpected order spike exhaust stock report pune facility shift
459,Documentation Error,High,Customs paperwork contained errors. Reported at Bengaluru facility during shift 1.,Resolved,Pune,customs paperwork contain errors report bengaluru facility shift
460,Documentation Error,Critical,Required compliance document missing. Reported at Delhi facility during shift 2.,In Progress,Hyderabad,require compliance document miss report delhi facility shift
461,Documentation Error,Critical,Required compliance document missing. Reported at Mumbai facility during shift 1.,In Progress,Chennai,require compliance document miss report mumbai facility shift
462,Damaged Goods,High,Transit vibration caused product defects. Reported at Delhi facility during shift 3.,Open,Delhi,transit vibration cause product defect report delhi facility shift
463,Customs Issue,Medium,Customs requested additional documentation. Reported at Bengaluru facility during shift 3.,Open,Hyderabad,customs request additional documentation report bengaluru facility shift
464,Customs Issue,Low,Tariff classification review in progress. Reported at Kolkata facility during shift 2.,Open,Kolkata,tariff classification review progress report kolkata facility shift
465,Documentation Error,Critical,Data entry error impacted shipment records. Reported at Hyderabad facility during shift 3.,In Progress,Ahmedabad,data entry error impact shipment record report hyderabad facility shift
466,Transportation Failure,Low,Driver unavailable for scheduled route. Reported at Chennai facility during shift 3.,In Progress,Pune,driver unavailable schedule route report chennai facility shift
467,Warehouse Issue,Critical,Picking error occurred in warehouse. Reported at Kolkata facility during shift 1.,Open,Ahmedabad,pick error occur warehouse report kolkata facility shift
468,Damaged Goods,Medium,Water exposure damaged packaged goods. Reported at Hyderabad facility during shift 2.,Open,Ahmedabad,water exposure damage package goods report hyderabad facility shift
469,Warehouse Issue,Low,Receiving delay impacted warehouse operations. Reported at Chennai facility during shift 1.,In Progress,Chennai,receive delay impact warehouse operations report chennai facility shift
470,Shipment Delay,Medium,Mechanical failure delayed freight movement. Reported at Delhi facility during shift 2.,In Progress,Bengaluru,mechanical failure delay freight movement report delhi facility shift
471,Customs Issue,Medium,Country-specific restriction affected import. Reported at Delhi facility during shift 3.,In Progress,Mumbai,countryspecific restriction affect import report delhi facility shift
472,Customs Issue,Medium,Customs requested additional documentation. Reported at Hyderabad facility during shift 1.,Resolved,Delhi,customs request additional documentation report hyderabad facility shift
473,Shipment Delay,Medium,Delivery delayed due to traffic disruption. Reported at Hyderabad facility during shift 3.,Open,Kolkata,delivery delay due traffic disruption report hyderabad facility shift
474,Customs Issue,Low,Customs clearance process delayed. Reported at Mumbai facility during shift 1.,Open,Delhi,customs clearance process delay report mumbai facility shift
475,Documentation Error,Low,Bill of lading information mismatch detected. Reported at Ahmedabad facility during shift 1.,In Progress,Mumbai,bill lade information mismatch detect report ahmedabad facility shift
476,Warehouse Issue,Low,Order picking queue exceeded capacity. Reported at Delhi facility during shift 2.,In Progress,Mumbai,order pick queue exceed capacity report delhi facility shift
477,Customs Issue,Medium,Shipment selected for random inspection. Reported at Mumbai facility during shift 1.,In Progress,Delhi,shipment select random inspection report mumbai facility shift
478,Transportation Failure,Critical,Third-party carrier cancelled shipment booking. Reported at Delhi facility during shift 3.,Open,Mumbai,thirdparty carrier cancel shipment book report delhi facility shift
479,Documentation Error,Medium,Documentation approval pending correction. Reported at Chennai facility during shift 3.,In Progress,Pune,documentation approval pending correction report chennai facility shift
480,Customs Issue,Medium,Border inspection extended shipment hold. Reported at Delhi facility during shift 2.,In Progress,Bengaluru,border inspection extend shipment hold report delhi facility shift
481,Shipment Delay,High,Mechanical failure delayed freight movement. Reported at Mumbai facility during shift 1.,Resolved,Kolkata,mechanical failure delay freight movement report mumbai facility shift
482,Damaged Goods,Low,Pallet collapse resulted in product damage. Reported at Pune facility during shift 1.,Resolved,Mumbai,pallet collapse result product damage report pune facility shift
483,Inventory Shortage,Low,Backordered items unavailable for dispatch. Reported at Hyderabad facility during shift 3.,Resolved,Hyderabad,backordered items unavailable dispatch report hyderabad facility shift
484,Inventory Shortage,Medium,Backordered items unavailable for dispatch. Reported at Bengaluru facility during shift 3.,Resolved,Chennai,backordered items unavailable dispatch report bengaluru facility shift
485,Warehouse Issue,Medium,Order consolidation process delayed shipment. Reported at Bengaluru facility during shift 2.,Open,Ahmedabad,order consolidation process delay shipment report bengaluru facility shift
486,Customs Issue,High,Border security inspection caused delay. Reported at Mumbai facility during shift 3.,Open,Pune,border security inspection cause delay report mumbai facility shift
487,Damaged Goods,Medium,Goods arrived with visible damage. Reported at Kolkata facility during shift 3.,Resolved,Delhi,goods arrive visible damage report kolkata facility shift
488,Warehouse Issue,Medium,Warehouse management system outage reported. Reported at Mumbai facility during shift 1.,Open,Hyderabad,warehouse management system outage report report mumbai facility shift
489,Inventory Shortage,Medium,Warehouse stock shortage detected. Reported at Chennai facility during shift 2.,Resolved,Kolkata,warehouse stock shortage detect report chennai facility shift
490,Transportation Failure,Medium,Equipment malfunction impacted transport operations. Reported at Kolkata facility during shift 1.,Resolved,Delhi,equipment malfunction impact transport operations report kolkata facility shift
491,Damaged Goods,Medium,Product packaging torn during loading. Reported at Hyderabad facility during shift 1.,Open,Delhi,product package tear load report hyderabad facility shift
492,Documentation Error,Medium,Incorrect consignee information provided. Reported at Kolkata facility during shift 3.,Resolved,Mumbai,incorrect consignee information provide report kolkata facility shift
493,Damaged Goods,Critical,Packaging failure led to damaged products. Reported at Kolkata facility during shift 3.,Open,Chennai,package failure lead damage products report kolkata facility shift
494,Inventory Shortage,Medium,Product unavailable due to inventory mismatch. Reported at Kolkata facility during shift 1.,Resolved,Chennai,product unavailable due inventory mismatch report kolkata facility shift
495,Damaged Goods,Low,Fragile goods mishandled during unloading. Reported at Delhi facility during shift 1.,Open,Chennai,fragile goods mishandle unload report delhi facility shift
496,Inventory Shortage,Medium,Inventory forecast underestimated demand. Reported at Pune facility during shift 3.,Resolved,Hyderabad,inventory forecast underestimate demand report pune facility shift
497,Inventory Shortage,High,Safety stock threshold breached. Reported at Delhi facility during shift 3.,In Progress,Mumbai,safety stock threshold breach report delhi facility shift
498,Warehouse Issue,High,Order consolidation process delayed shipment. Reported at Chennai facility during shift 2.,In Progress,Mumbai,order consolidation process delay shipment report chennai facility shift
499,Damaged Goods,Medium,Packaging failure led to damaged products. Reported at Mumbai facility during shift 2.,In Progress,Chennai,package failure lead damage products report mumbai facility shift
500,Transportation Failure,Low,Transportation network disruption reported. Reported at Delhi facility during shift 2.,Open,Mumbai,transportation network disruption report report delhi facility shift
501,Inventory Shortage,High,Procurement delay affected inventory availability. Reported at Chennai facility during shift 1.,Open,Bengaluru,procurement delay affect inventory availability report chennai facility shift
502,Shipment Delay,Critical,Last-mile delivery partner unavailable. Reported at Pune facility during shift 2.,Open,Chennai,lastmile delivery partner unavailable report pune facility shift
503,Documentation Error,Medium,Invoice value discrepancy identified. Reported at Kolkata facility during shift 1.,In Progress,Pune,invoice value discrepancy identify report kolkata facility shift
504,Damaged Goods,Medium,Transit vibration caused product defects. Reported at Mumbai facility during shift 3.,Resolved,Chennai,transit vibration cause product defect report mumbai facility shift
505,Inventory Shortage,Low,Demand exceeded available stock levels. Reported at Chennai facility during shift 2.,In Progress,Hyderabad,demand exceed available stock level report chennai facility shift
506,Warehouse Issue,Low,Warehouse staffing shortage reported. Reported at Hyderabad facility during shift 2.,In Progress,Chennai,warehouse staff shortage report report hyderabad facility shift
507,Damaged Goods,High,Forklift accident damaged inventory. Reported at Hyderabad facility during shift 3.,Resolved,Bengaluru,forklift accident damage inventory report hyderabad facility shift
508,Transportation Failure,High,Driver unavailable for scheduled route. Reported at Ahmedabad facility during shift 1.,Resolved,Bengaluru,driver unavailable schedule route report ahmedabad facility shift
509,Inventory Shortage,Low,Warehouse stock shortage detected. Reported at Kolkata facility during shift 1.,In Progress,Chennai,warehouse stock shortage detect report kolkata facility shift
510,Damaged Goods,High,Package damaged during transportation. Reported at Kolkata facility during shift 3.,Open,Bengaluru,package damage transportation report kolkata facility shift
511,Documentation Error,Critical,Bill of lading information mismatch detected. Reported at Kolkata facility during shift 2.,Open,Hyderabad,bill lade information mismatch detect report kolkata facility shift
512,Shipment Delay,Medium,Shipment delayed due to customs inspection. Reported at Bengaluru facility during shift 3.,In Progress,Ahmedabad,shipment delay due customs inspection report bengaluru facility shift
513,Customs Issue,Low,Customs clearance process delayed. Reported at Mumbai facility during shift 3.,In Progress,Mumbai,customs clearance process delay report mumbai facility shift
514,Documentation Error,Medium,Documentation approval pending correction. Reported at Chennai facility during shift 2.,Open,Bengaluru,documentation approval pending correction report chennai facility shift
